YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,4,14,1.88,5.51,1.69,5.98,21.26,26.71,16.3,75.02,0.92,91.9,2.72,3.95,0.76,0.65,10.41,2.42,21.65
2015,4,15,1.84,5.13,1.82,5.95,21.29,26.94,15.83,76.71,0.34,91.77,2.75,4.55,1.71,0.6,11.11,2.82,21.88
2015,4,16,1.85,5.09,2.03,5.93,21.5,25.4,19.01,85.29,1.06,91.62,2.73,5.61,1.48,0.6,6.39,3.09,21.58
2015,4,17,1.94,5.26,2.01,5.94,22.09,28.06,16.92,79.51,1.04,91.77,2.71,5.14,1.28,0.63,11.14,2.93,23.0
2015,4,18,1.81,4.66,2.37,5.85,22.51,27.65,17.65,79.86,0.07,91.75,2.69,5.25,1.78,0.56,10.0,3.5,23.09
2015,4,19,1.56,3.88,1.09,5.65,23.43,28.5,18.76,79.27,0.95,91.64,2.62,2.31,1.28,0.47,9.74,1.75,23.9
2015,4,20,1.71,4.6,1.46,5.67,22.84,26.68,20.1,85.93,3.2,91.6,2.63,3.21,1.47,0.56,6.58,2.22,23.25
2015,4,21,1.82,4.56,1.7,5.66,23.32,28.85,18.9,82.45,2.29,91.55,2.62,3.57,1.65,0.56,9.95,2.61,23.67
2015,4,22,0.95,2.27,1.74,5.53,21.27,25.67,18.56,85.76,10.42,91.69,2.57,3.74,0.5,0.28,7.11,2.61,21.61
2015,4,23,1.16,2.83,2.15,5.53,21.93,26.8,18.54,86.22,3.25,91.79,2.55,4.5,1.44,0.35,8.26,3.13,22.47
2015,4,24,1.46,3.67,1.82,5.61,22.68,28.47,18.47,82.17,0.14,91.83,2.59,4.42,1.61,0.46,10.0,2.78,23.11
2015,4,25,1.74,4.68,2.65,5.75,20.9,27.07,14.56,76.94,0.02,91.88,2.61,6.04,2.62,0.59,12.51,3.8,21.68
2015,4,26,1.86,5.83,2.1,5.93,18.82,26.05,12.59,74.07,0.01,91.96,2.64,4.93,1.75,0.73,13.46,3.05,19.8
2015,4,27,1.76,5.64,1.77,5.76,19.82,26.2,14.66,73.24,0.02,91.88,2.57,4.31,0.54,0.71,11.54,2.55,20.19
2015,4,28,1.67,5.0,1.77,5.65,19.89,25.67,14.53,75.28,0.1,91.76,2.55,3.82,0.81,0.64,11.14,2.58,20.3
2015,4,29,1.54,4.37,1.27,5.37,19.87,24.79,15.72,74.64,0.15,91.76,2.41,3.5,0.17,0.56,9.07,1.93,20.48
2015,4,30,1.45,4.29,1.69,5.47,19.55,25.25,14.39,74.79,0.33,91.81,2.46,4.72,0.32,0.55,10.86,2.48,20.29
2015,5,1,1.34,3.69,1.75,5.48,19.15,24.96,13.9,75.55,0.26,91.81,2.48,4.1,0.57,0.48,11.06,2.51,19.92
2015,5,2,1.07,2.58,1.88,5.44,18.83,24.01,14.16,81.62,0.18,91.78,2.47,4.1,1.47,0.34,9.85,2.78,19.76
2015,5,3,1.66,4.91,2.16,5.48,20.38,26.77,15.71,75.61,0.05,91.79,2.49,4.96,1.97,0.64,11.06,3.27,20.79
2015,5,4,1.01,2.47,2.89,5.26,19.65,25.41,14.82,82.69,2.45,91.74,2.42,7.74,1.65,0.33,10.59,4.37,20.04
2015,5,5,1.24,3.35,1.06,5.09,21.26,26.7,16.91,82.04,7.06,91.79,2.32,3.53,0.44,0.44,9.79,1.65,21.71
2015,5,6,0.91,2.18,1.99,5.02,20.01,25.36,15.75,83.66,0.87,91.81,2.26,4.06,1.29,0.29,9.61,2.93,20.74
2015,5,7,1.55,4.76,2.23,5.22,19.93,26.63,14.0,75.15,0.07,91.76,2.34,6.09,1.16,0.64,12.63,3.28,20.66
2015,5,8,1.53,4.78,2.73,5.3,17.72,24.54,13.11,75.55,0.03,92.13,2.37,5.97,2.12,0.64,11.43,3.97,18.5
2015,5,9,1.48,4.7,2.0,5.25,18.21,25.25,12.6,76.0,0.01,92.1,2.36,4.4,1.68,0.64,12.65,2.91,18.85
2015,5,10,1.4,3.91,1.69,5.06,19.12,25.59,12.98,82.72,19.01,91.84,2.32,3.56,2.01,0.53,12.61,2.69,19.46
2015,5,11,0.87,2.13,2.55,4.82,18.91,21.84,16.3,91.4,10.71,91.55,2.19,7.22,2.19,0.29,5.54,3.83,18.95
2015,5,12,1.37,4.42,1.59,5.28,17.34,22.83,12.82,77.17,0.35,91.8,2.33,3.61,1.66,0.61,10.01,2.47,17.64
2015,5,13,1.44,4.5,1.79,5.24,17.12,23.54,10.92,79.22,0.02,92.09,2.34,4.08,1.56,0.62,12.62,2.76,17.55
2015,5,14,1.19,3.63,2.34,4.93,17.7,23.39,13.54,79.43,0.0,92.15,2.19,5.01,1.95,0.51,9.85,3.45,18.19
2015,5,15,1.3,3.7,2.38,5.04,16.9,22.37,12.77,77.43,0.0,92.26,2.26,5.1,1.88,0.52,9.6,3.52,17.39
2015,5,16,1.37,4.51,2.19,5.07,17.08,23.38,11.32,77.16,0.0,92.34,2.26,5.14,1.43,0.63,12.06,3.25,17.59
2015,5,17,1.03,2.93,2.4,4.96,18.15,23.58,13.78,78.98,0.0,92.4,2.24,5.03,1.5,0.41,9.8,3.53,18.63
