YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,WSC
2015,6,6,0.98,3.42,1.06,4.58,17.67,24.86,12.38,78.82,0.01,89.9,2.04,3.44,1.39,0.53,12.48,2.31,17.51,1.77
2015,6,7,1.21,4.24,0.9,4.62,17.32,25.32,10.26,75.54,0.01,89.94,2.07,2.53,1.46,0.66,15.06,2.0,16.87,1.5
2015,6,8,1.27,4.6,0.89,4.64,18.26,26.06,12.82,66.58,0.0,89.85,2.06,2.18,1.08,0.72,13.24,1.64,16.67,1.09
2015,6,9,1.31,4.64,0.68,4.69,17.45,25.65,12.19,66.26,0.01,89.77,2.05,2.22,0.53,0.73,13.46,1.35,16.07,0.92
2015,6,10,1.18,3.82,0.97,4.63,17.07,24.54,12.1,67.87,0.02,89.76,2.06,3.7,0.45,0.6,12.44,2.0,15.72,1.39
2015,6,11,1.26,4.59,1.05,4.6,17.26,25.92,11.83,67.33,0.0,89.68,2.06,3.05,1.08,0.72,14.09,2.21,16.19,1.6
2015,6,12,1.02,3.05,0.58,4.41,18.52,26.38,12.22,71.38,0.04,89.68,2.02,2.18,0.33,0.48,14.16,1.13,17.74,0.8
2015,6,13,1.21,4.39,1.3,4.48,17.77,25.8,12.91,74.97,0.02,89.61,2.02,5.15,1.85,0.7,12.89,3.03,17.64,2.37
2015,6,14,1.2,4.27,1.52,4.53,17.68,25.63,10.46,72.17,0.01,89.42,2.03,6.24,1.98,0.68,15.17,3.46,17.49,2.82
2015,6,15,0.61,1.71,1.48,4.21,18.47,25.92,13.18,81.93,2.19,89.49,1.91,6.25,0.98,0.27,12.74,3.31,18.58,2.79
